"","GSE45899_MGG4.GBM_vs_Human.embryonic.NSC"
"100287467",-2.88
"100287482",2.2901
"100287497",5.48605
"100287569",5.927
"100287616",-2.5605
"100287765",1.02975
"100287808",1.8629
"100287814",-3.5241
"100287902",-1.4355
"100287932",-4.484
"100288079",-3.1354
"100288122",-2.8076
"100288123",0.89
"100288152",1.0267
"100288175",-3.0215
"100288181",-1.1102
"100288198",0.37635
"100288413",-3.8901
"100288432",-0.53635
"100288730",2.5806
"100288797",0.36755
"100288805",-2.4006
"100288911",-0.1802
"100289019",1.581
"100289061",-0.489
"100289092",1.5554
"100289098",4.9028
"100289137",8.5466
"100289187",-0.2862
"100289230",4.7926
"100289274",5.4961
"100289341",1.4227
"100289361",2.7893
"100289373",2.573
"100289410",3.5216
"100289495",-3.0864
"100289509",-2.8177
"100289635",0.6291
"100289678",-1.52805
"100292680",-1.7371
"100293516",1.2587
"100294362",0.4163
"100294720",-2.6291
"1003",-5.1492
"100302522",-4.3695
"100302650",1.1448
"100302691",-2.4787
"100302740",-0.7886
"100303728",2.3669
"100306951",1.9549
"100309464",-1.83
"100310756",0.7922
"100316868",-0.00139999999999999
"100316904",-3.02445
"100329135",0.4605
"100359394",-0.7481
"10036",-3.7754
"100379174",-2.3369
"100379661",-1.2229
"10038",0.0111666666666667
"100381270",0.39085
"10039",-2.7352
"1004",-4.94362
"10040",2.68365
"100419583",1.0937
"10042",2.6772
"100421436",-0.8901
"100421577",-1.1128
"100422212",-1.9155
"100422737",-1.61765
"100423062",-1.70885
"10043",-0.0305
"10044",-1.1387
"10045",-1.1389
"10046",8.2771
"10047",-2.868
"10048",0.5284
"10049",-0.434233333333333
"100498859",-1.7386
"100499171",3.0516
"100499177",6.1081
"100499466",-3.78315
"100499467",12.972
"1005",-3.12605
"10050",-0.85715
"100500850",2.3536
"100500854",12.6195
"100505474",-2.9298
"100505478",-3.0107
"100505483",2.1512
"100505495",0.424
"100505515",-2.8453
"100505518",0.316
"100505534",-0.4124
"100505536",-1.9
"100505538",5.97885
"100505540",-1.9151
"100505545",-2.2605
"100505547",-3.1738
"100505555",-1.8313
"100505570",-1.6069
"100505573",-3.1691
"100505576",-9.5505
"100505583",-1.9136
"100505592",-0.872
"100505601",2.3876
"100505609",-1.0475
"100505616",8.4747
"100505619",-0.3443
"100505621",-3.3188
"100505624",-1.988
"100505633",-2.7969
"100505635",-3.3647
"100505641",-1.7483
"100505658",-2.7847
"100505659",-1.7547
"100505666",-0.7481
"100505676",-0.3856
"100505681",0.0143
"100505683",0.3665
"100505685",-1.2685
"100505687",0.0403
"100505696",-2.5783
"100505702",0.1097
"100505715",8.1952
"100505716",-3.2569
"100505718",-1.5279
"100505738",10.5757
"100505741",-0.9342
"100505746",-1.44845
"100505758",-3.1041
"100505761",3.0677
"100505768",-1.1278
"100505774",-1.8276
"100505776",0.3194
"100505782",-0.647
"100505783",3.031
"100505806",2.5999
"100505811",0.4252
"100505812",1.55745
"100505824",-1.0909
"100505826",-2.4486
"100505832",3.9052
"100505835",-4.0427
"100505839",-3.3615
"100505841",-2.8885
"100505851",0.01945
"100505853",-1.5907
"100505854",2.79545
"100505865",8.3997
"100505875",-1.7242
"100505876",9.30126666666667
"100505877",-1.733
"100505878",-1.0859
"100505879",0.59265
"100505881",-0.774966666666667
"100505890",-2.0388
"100505893",-2.8837
"100505894",5.24355
"100505912",2.5609
"100505918",-3.233
"100505920",-2.849
"100505929",-0.9147
"100505933",0.13765
"100505942",-1.4908
"100505964",-4.681
"100505967",-0.2601
"100505975",4.5079
"100505978",-1.1469
"100505984",-2.6906
"100505989",2.3479
"100506012",9.6972
"100506013",-1.3053
"100506016",-1.2238
"100506022",2.7268
"100506025",-0.49195
"100506046",1.3415
"100506047",-5.0345
"100506049",-1.1505
"100506050",-0.9677
"100506054",1.1941
"100506068",-0.7419
"100506070",-0.087
"100506071",0.2251
"100506076",2.8504
"100506082",1.0896
"100506084",-0.8071
"100506107",-0.0039
"100506108",-2.6735
"100506113",-1.7418
"100506115",-3.9217
"100506119",-1.2491
"100506122",-0.7742
"100506124",0.5534
"100506125",1.9005
"100506126",-1.7963
"100506127",2.83953333333333
"100506142",-1.60275
"100506144",-0.6173
"100506161",3.3509
"100506172",-0.5386
"100506175",-3.0143
"100506190",-5.4319
"100506195",-0.3837
"100506207",-2.40505
"100506211",4.6975
"100506215",2.241
"100506229",-1.5518
"100506233",3.1484
"100506237",-1.5279
"100506243",8.0455
"100506271",-0.8895
"100506272",-1.2126
"100506274",0.55565
"100506275",-2.0804
"100506282",9.2875
"100506286",1.7478
"100506299",2.6716
"100506311",6.9181
"100506314",-3.2006
"100506319",-3.1174
"100506325",3.4547
"100506343",-7.9437
"100506358",1.3984
"100506365",3.8074
"100506368",-4.3606
"100506371",-3.401
"100506374",-4.0978
"100506380",-3.0564
"100506385",-0.6343
