"Log2FC_estimate","SE","pval","CI_lb","CI_ub","Number_Of_Comparisons","FDR","Human_EntrezGene.ID"
2.3906676388776,0.219823855330177,1.51027583090346e-27,1.95982079948771,2.82151447826749,5,1.6077751054891e-23,"7020"
2.78043293089239,0.314294951021889,9.02486666864407e-19,2.16442614636671,3.39643971541807,5,2.05663818711729e-15,"221895"
3.04844613706835,0.407292187782188,7.17291216528338e-14,2.25016811783074,3.84672415630597,5,4.9748823852435e-11,"2297"
2.81601282336797,0.381377623040451,1.53844389421304e-13,2.06852641769919,3.56349922903675,5,1.02255237502027e-10,"84282"
2.12935068215061,0.291436518692563,2.7440222789252e-13,1.55814560173345,2.70055576256777,5,1.62120901457092e-10,"1051"
3.74933082316187,0.518563751107347,4.82206619791534e-13,2.73296454730348,4.76569709902026,5,2.48134193513373e-10,"5321"
3.09782222799178,0.433590637242083,9.02726347191826e-13,2.24800019496353,3.94764426102004,5,4.16284408583145e-10,"23643"
-4.28963682041113,0.60392104207971,1.22098391687197e-12,-5.47330031239326,-3.105973328429,5,5.26409065998421e-10,"285016"
3.42933559749858,0.573588845755325,2.24877295536927e-09,2.30512211788425,4.55354907711292,5,4.06223913563511e-07,"928"
-4.03906995528844,0.740535810441318,4.91790328338479e-08,-5.4904934730156,-2.58764643756127,5,5.98857963179803e-06,"4741"
-2.67753567405333,0.499277454888613,8.19321395817089e-08,-3.65610150392783,-1.69896984417883,5,9.02583870647528e-06,"55506"
2.571586667729,0.485222103835648,1.15921015791167e-07,1.62056881970837,3.52260451574962,5,1.18536669480814e-05,"4071"
2.10020830776644,0.402942736031762,1.86638725996445e-07,1.31045505731216,2.88996155822072,5,1.83781540561438e-05,"205"
-2.57234938154077,0.49543662824587,2.07951352303643e-07,-3.54338732952464,-1.60131143355691,5,1.99833733249862e-05,"4826"
-2.00333313011347,0.392688477059849,3.36823016073768e-07,-2.77298840229466,-1.23367785793229,5,3.08793146690158e-05,"1846"
2.98547271103496,0.647125436274771,3.96063527539432e-06,1.71713016245664,4.25381525961328,5,0.000257877771073837,"3397"
2.8593646569856,0.620962144714038,4.12996099452763e-06,1.64230121758334,4.07642809638787,5,0.000265649749131874,"563"
3.72103080072591,0.820480818341824,5.75535140828552e-06,2.11291794676998,5.32914365468184,5,0.000352877376615346,"29887"
-2.66199364322733,0.602327615740005,9.89243953218734e-06,-3.84253407697162,-1.48145320948304,5,0.000553916184863262,"2697"
2.55075764366023,0.57755712663048,1.00330700754439e-05,1.41876647645005,3.68274881087041,5,0.000559606761690494,"100287482"
2.18878279403857,0.497748893371516,1.09573773505553e-05,1.21321288968573,3.1643526983914,5,0.000590513795594791,"25805"
4.09672139868166,0.959374665535151,1.95298028812231e-05,2.2163816065526,5.97706119081071,5,0.000921714247222694,"55244"
-2.50315758023925,0.610916499671199,4.17851081909178e-05,-3.70053191715608,-1.30578324332242,5,0.00171351168601933,"4747"
2.21051582291737,0.556837755431221,7.19431240080889e-05,1.11913387704005,3.30189776879469,5,0.00267514385589052,"9518"
-2.52856907342923,0.65133058645719,0.000103533028214903,-3.80515356491467,-1.25198458194378,5,0.00362979970567941,"5925"
-2.75550998522155,0.712717100684927,0.000110542305576974,-4.15240983372982,-1.35861013671329,5,0.00385857955922077,"56963"
-2.8422312776663,0.739011529931509,0.000120066445146777,-4.2906672604919,-1.3937952948407,5,0.00412310760694971,"54898"
-5.17196584298862,1.37269179681881,0.000164722504200278,-7.86239232662707,-2.48153935935017,5,0.00521359799008498,"10409"
-4.16428300279541,1.13031823958025,0.000229450305858822,-6.37966604344142,-1.9488999621494,5,0.00689301559144997,"23090"
2.22035533349937,0.603593376641137,0.00023455317223127,1.03733405397582,3.40337661302291,5,0.00699363028679106,"101928847"
3.09333617047494,0.856054153836745,0.000302112481239387,1.41550086013901,4.77117148081088,5,0.00856003250573838,"5027"
2.30773004870506,0.644496716734995,0.000342714297730683,1.04453969575016,3.57092040165996,5,0.00942582496103422,"9314"
2.46341988895055,0.693757258449802,0.000384006172190716,1.10368064837569,3.82315912952541,5,0.0103125697959365,"100289098"
3.15526067155499,0.896883154936709,0.00043476535380906,1.39740198953838,4.9131193535716,5,0.01135086239601,"10397"
-2.82655621622889,0.806102556492988,0.000454131177940756,-4.40648819480081,-1.24662423765697,5,0.011798535098552,"8642"
-2.19258679032171,0.63068367304684,0.000507959170048899,-3.42870407513095,-0.95646950551247,5,0.0128414654209509,"8829"
-2.33992507884507,0.67626992098757,0.000540082987370929,-3.66538976780846,-1.01446038988168,5,0.0134615684602204,"4430"
-3.85054824404299,1.12418221368137,0.000614348349976014,-6.05390489491898,-1.64719159316699,5,0.0147369697425825,"793"
-2.48383048493247,0.727829553192952,0.000643335503246772,-3.91035019607453,-1.0573107737904,5,0.0152715594461198,"9388"
-3.20832438604629,0.941693151162945,0.000656873062715438,-5.0540090468137,-1.36263972527889,5,0.015471091866513,"121551"
-3.33664470765697,0.980361692731262,0.000665324658464136,-5.25811831723297,-1.41517109808098,5,0.0156077337526763,"54212"
-2.73038597726969,0.802378720097105,0.000666833680965891,-4.30301937062136,-1.15775258391802,5,0.0156132089904919,"79630"
-5.67095738677528,1.66977168170118,0.000683166326575679,-8.94364974531446,-2.3982650282361,5,0.0159325573706655,"81849"
2.85530269216719,0.848231766565471,0.000762163423823603,1.19279897915608,4.51780640517829,5,0.0174183824309944,"8612"
-2.06348467819041,0.616500733343883,0.000816641002312233,-3.27180391198695,-0.855165444393866,5,0.0183479679843447,"94241"
-2.52937873589506,0.768006331155958,0.000989713120755569,-4.03464348485948,-1.02411398693064,5,0.0210225082587122,"23220"
2.73294587634701,0.831945002723851,0.00101979525280172,1.10236363389018,4.36352811880383,5,0.0215182194083241,"6616"
-3.93222501808054,1.20341751601513,0.00108483303028538,-6.29088000783485,-1.57357002832624,5,0.0225035845242034,"6876"
2.03918191239572,0.630905392245427,0.00122861828733512,0.802630065942569,3.27573375884887,5,0.0246837769767881,"6663"
4.39190883399577,1.3949100399615,0.0016409680701292,1.65793539399791,7.12588227399363,5,0.0307599561159823,"100506311"
-4.89872789253182,1.55668160161925,0.00165009007948561,-7.94976776710168,-1.84768801796197,5,0.0308479424994228,"64409"
2.37016318817285,0.755335578858954,0.0017016624380423,0.889732657367584,3.85059371897811,5,0.0314541358188305,"26872"
4.46401468294255,1.42385887149685,0.00171764801818942,1.67330257574089,7.25472679014422,5,0.0316031386230192,"7163"
-3.91089935024629,1.25072239784658,0.00176652566320051,-6.36227020468316,-1.45952849580942,5,0.0322310428183275,"1280"
-2.14864792102207,0.68719850190945,0.00176793897104041,-3.49553223499448,-0.801763607049672,5,0.0322310428183275,"2913"
2.01581960214862,0.652739793647907,0.00201343237072135,0.736473115322617,3.29516608897463,5,0.0352560627637178,"6875"
-2.77631429659031,0.899298087231162,0.00202050665203004,-4.53890615892915,-1.01372243425148,5,0.0353024338589082,"1381"
-2.39714727313971,0.779781685127615,0.00211120136692454,-3.92549129179379,-0.868803254485631,5,0.0362684711035763,"11098"
2.13080220999264,0.694532478873131,0.00215520952002838,0.769543565307978,3.4920608546773,5,0.0367742128996108,"1730"
2.05167276069066,0.675637691864965,0.00239225911094437,0.727447218037559,3.37589830334376,5,0.0396687290413561,"147495"
2.21968651690645,0.73169236670052,0.00241627731220366,0.785595830410557,3.65377720340234,5,0.0399838751911543,"4504"
4.99833318573109,1.65722839669892,0.00256065811197962,1.75022521404415,8.24644115741803,5,0.0420675779632326,"26577"
2.31868106518797,0.769734003090894,0.00259263653125181,0.810030141453976,3.82733198892197,5,0.0424181927656707,"5122"
-4.72839556139603,1.57586293771035,0.00269526185967889,-7.81703016387981,-1.63976095891225,5,0.0437321437201339,"26022"
-4.32840684629828,1.45697545100618,0.00297009097102759,-7.18402625662938,-1.47278743596717,5,0.0470495443593169,"22915"
-4.96756091808589,1.67878411915046,0.00308616008601708,-8.25791732943858,-1.67720450673319,5,0.0485028824553147,"2890"
-2.45809204455383,0.836117843944994,0.00328331882128268,-4.0968529055173,-0.819331183590356,5,0.0508006807343368,"59"
-5.29635608297384,1.80244602231993,0.00329882319979352,-8.82908537079837,-1.7636267951493,5,0.0509586253982249,"26585"
3.53647626037016,1.20454735210221,0.00332540853831491,1.17560683257673,5.89734568816358,5,0.0511738534162788,"3202"
3.89711193452332,1.32824465295471,0.00334590020080644,1.29380025207419,6.50042361697246,5,0.0513703561147876,"57110"
-2.36253688968922,0.81812262211956,0.00388003171186162,-3.96602776398103,-0.75904601539741,5,0.0570792039940234,"130733"
-2.91687966966625,1.01859948407441,0.00418832971102027,-4.91329797312318,-0.920461366209318,5,0.0602454784041437,"10346"
