"Log2FC_estimate","SE","pval","CI_lb","CI_ub","Number_Of_Comparisons","FDR","Human_EntrezGene.ID"
2.3906676388776,0.219823855330177,1.51027583090346e-27,1.95982079948771,2.82151447826749,5,1.6077751054891e-23,"7020"
1.03375249441355,0.0952853405984124,2.01576618040258e-27,0.846996658586032,1.22050833024107,5,1.6077751054891e-23,"51373"
1.00633194434578,0.1077217898314,9.45729020232722e-21,0.795201115926047,1.21746277276552,5,3.31085415448151e-17,"10549"
1.10289427246482,0.118182625598186,1.037755188842e-20,0.871260582693993,1.33452796223565,5,3.31085415448151e-17,"221830"
-1.06636275749373,0.114832410521506,1.59816314246366e-20,-1.2914301463738,-0.841295368613657,5,4.24898307476337e-17,"54838"
2.78043293089239,0.314294951021889,9.02486666864407e-19,2.16442614636671,3.39643971541807,5,2.05663818711729e-15,"221895"
1.34024423462358,0.153226811425959,2.19488721296184e-18,1.03992520276279,1.64056326648437,5,4.3766051026459e-15,"11097"
1.25997819894728,0.145668011139633,5.16548618344111e-18,0.974474143414017,1.54548225448054,5,9.15553728869473e-15,"54543"
1.37973540498698,0.170130941037063,5.06847578783372e-16,1.04628488789843,1.71318592207553,5,5.77516612625168e-13,"5230"
-1.5781719835234,0.197690411649069,1.42763718232879e-15,-1.96563807044447,-1.19070589660233,5,1.51824455550059e-12,"2535"
1.00455084879013,0.126030913235965,1.57816107617898e-15,0.757534797908945,1.25156689967131,5,1.57342659295045e-12,"1371"
1.33321074263332,0.170449433285564,5.209911864145e-15,0.999135992208355,1.66728549305829,5,4.61713966982451e-12,"3708"
1.81586151507424,0.235486012650329,1.24715777429665e-14,1.35431741141665,2.27740561873183,5,9.94733040779008e-12,"7422"
3.04844613706835,0.407292187782188,7.17291216528338e-14,2.25016811783074,3.84672415630597,5,4.9748823852435e-11,"2297"
2.81601282336797,0.381377623040451,1.53844389421304e-13,2.06852641769919,3.56349922903675,5,1.02255237502027e-10,"84282"
2.12935068215061,0.291436518692563,2.7440222789252e-13,1.55814560173345,2.70055576256777,5,1.62120901457092e-10,"1051"
1.00271523954294,0.138290912754862,4.1441689319054e-13,0.731670031154238,1.27376044793164,5,2.27957871730189e-10,"388722"
3.74933082316187,0.518563751107347,4.82206619791534e-13,2.73296454730348,4.76569709902026,5,2.48134193513373e-10,"5321"
3.09782222799178,0.433590637242083,9.02726347191826e-13,2.24800019496353,3.94764426102004,5,4.16284408583145e-10,"23643"
-4.28963682041113,0.60392104207971,1.22098391687197e-12,-5.47330031239326,-3.105973328429,5,5.26409065998421e-10,"285016"
-1.2820146155408,0.180934479202541,1.38524574440411e-12,-1.63663967833929,-0.927389552742309,5,5.81511581966693e-10,"4254"
1.0100972970075,0.14275189294413,1.48488077946777e-12,0.73030872811209,1.28988586590292,5,6.07354312668457e-10,"100506325"
1.74826944641618,0.248215921879295,1.87683784412476e-12,1.26177517914335,2.23476371368901,5,7.48482932236953e-10,"976"
-1.25586474380754,0.182158044996633,5.4104489649552e-12,-1.61288795149517,-0.898841536119916,5,1.91794404197701e-09,"26230"
1.85720898989958,0.273552724302397,1.12743229289731e-11,1.32105550239406,2.39336247740509,5,3.67036733393833e-09,"3315"
1.45417825474132,0.214580962865768,1.22843074634409e-11,1.03360729575648,1.87474921372615,5,3.91918545313619e-09,"144577"
1.21045177318734,0.178694261893787,1.25381989288546e-11,0.860217455631545,1.56068609074313,5,3.92175194731546e-09,"2990"
1.12386927685201,0.167389217289325,1.8922017481821e-11,0.795792439564586,1.45194611413944,5,5.80469274750016e-09,"97"
1.21514547254504,0.187085909624765,8.29671362376983e-11,0.848463827665582,1.58182711742449,5,2.20581959543961e-08,"8985"
1.69762831046594,0.261701477956483,8.76271308851922e-11,1.18470283897033,2.21055378196155,5,2.2915212981649e-08,"3673"
1.07909160466158,0.16919361697878,1.79590623275168e-10,0.747478208969112,1.41070500035406,5,4.47629628513357e-08,"5634"
1.01573411920216,0.160105102954318,2.23626619871018e-10,0.701933883670623,1.3295343547337,5,5.36926871732978e-08,"84836"
3.42933559749858,0.573588845755325,2.24877295536927e-09,2.30512211788425,4.55354907711292,5,4.06223913563511e-07,"928"
-1.16576388319039,0.195118340144581,2.30584018833203e-09,-1.54818880259701,-0.783338963783777,5,4.0710953099527e-07,"9989"
-1.66207848291796,0.278325797836067,2.34792357394464e-09,-2.20758702264502,-1.11656994319089,5,4.0710953099527e-07,"160335"
-1.16675379845745,0.196411186193679,2.84391151422878e-09,-1.55171264955785,-0.781794947357046,5,4.77537647105026e-07,"55752"
-1.16234599006094,0.196183328378822,3.12687339646995e-09,-1.54685824805062,-0.777833732071251,5,5.08978412453965e-07,"10579"
1.23851485173096,0.210337799834885,3.90381595989637e-09,0.826260339467192,1.65076936399473,5,6.22736721922669e-07,"29902"
-1.15478667372057,0.202282285950205,1.1378355507505e-08,-1.5512526688934,-0.758320678547733,5,1.65006842777927e-06,"119032"
-1.55391202961236,0.276099407845001,1.82217110867973e-08,-2.09505692514139,-1.01276713408332,5,2.54976083558413e-06,"150967"
-1.36678713818051,0.243590474418293,2.01156058231942e-08,-1.84421569501739,-0.889358581343633,5,2.74259952215038e-06,"121512"
1.06417438799405,0.189933387954977,2.10816575162622e-08,0.691911788140619,1.43643698784747,5,2.84246252163427e-06,"135154"
