"Log2FC_estimate","SE","pval","CI_lb","CI_ub","Number_Of_Comparisons","FDR","Human_EntrezGene.ID"
2.3906676388776,0.219823855330177,1.51027583090346e-27,1.95982079948771,2.82151447826749,5,1.6077751054891e-23,"7020"
1.03375249441355,0.0952853405984124,2.01576618040258e-27,0.846996658586032,1.22050833024107,5,1.6077751054891e-23,"51373"
0.985920015371619,0.103523066069598,1.6716099829886e-21,0.783018534306045,1.18882149643719,5,8.88850748287804e-18,"23366"
1.00633194434578,0.1077217898314,9.45729020232722e-21,0.795201115926047,1.21746277276552,5,3.31085415448151e-17,"10549"
1.10289427246482,0.118182625598186,1.037755188842e-20,0.871260582693993,1.33452796223565,5,3.31085415448151e-17,"221830"
-1.06636275749373,0.114832410521506,1.59816314246366e-20,-1.2914301463738,-0.841295368613657,5,4.24898307476337e-17,"54838"
2.78043293089239,0.314294951021889,9.02486666864407e-19,2.16442614636671,3.39643971541807,5,2.05663818711729e-15,"221895"
1.34024423462358,0.153226811425959,2.19488721296184e-18,1.03992520276279,1.64056326648437,5,4.3766051026459e-15,"11097"
1.25997819894728,0.145668011139633,5.16548618344111e-18,0.974474143414017,1.54548225448054,5,9.15553728869473e-15,"54543"
0.841009365487239,0.0985911472524608,1.46003217145423e-17,0.647774267677931,1.03424446329655,5,2.32904331990379e-14,"115416"
0.877603544499212,0.103106834442927,1.71557922351313e-17,0.67551786243114,1.07968922656728,5,2.48790179758922e-14,"27175"
-0.964510955422773,0.11375114081698,2.26879864180922e-17,-1.1874590946244,-0.741562816221148,5,3.0159896611784e-14,"282991"
-0.703001633433789,0.0838967387738835,5.3212735557997e-17,-0.867436219850966,-0.538567047016613,5,6.5296119817013e-14,"10765"
1.37973540498698,0.170130941037063,5.06847578783372e-16,1.04628488789843,1.71318592207553,5,5.77516612625168e-13,"5230"
-1.5781719835234,0.197690411649069,1.42763718232879e-15,-1.96563807044447,-1.19070589660233,5,1.51824455550059e-12,"2535"
1.00455084879013,0.126030913235965,1.57816107617898e-15,0.757534797908945,1.25156689967131,5,1.57342659295045e-12,"1371"
0.871771631234649,0.109671990019733,1.88175564355364e-15,0.656818480683135,1.08672478178616,5,1.76575094270398e-12,"6603"
1.33321074263332,0.170449433285564,5.209911864145e-15,0.999135992208355,1.66728549305829,5,4.61713966982451e-12,"3708"
0.841570962860033,0.10788309513363,6.15316940895981e-15,0.63012398185741,1.05301794386266,5,5.16607149535405e-12,"10491"
1.81586151507424,0.235486012650329,1.24715777429665e-14,1.35431741141665,2.27740561873183,5,9.94733040779008e-12,"7422"
0.842837497516118,0.110015796905832,1.84406288211794e-14,0.627210497850214,1.05846449718202,5,1.40078529026407e-11,"26354"
0.549549005175389,0.0720187075530982,2.33586744970023e-14,0.408394932158193,0.690703078192584,5,1.693716252619e-11,"11335"
3.04844613706835,0.407292187782188,7.17291216528338e-14,2.25016811783074,3.84672415630597,5,4.9748823852435e-11,"2297"
2.81601282336797,0.381377623040451,1.53844389421304e-13,2.06852641769919,3.56349922903675,5,1.02255237502027e-10,"84282"
0.744751440065821,0.101633735340358,2.33965736797722e-13,0.545552979184444,0.943949900947198,5,1.4928885733589e-10,"3181"
-0.863835127826053,0.118096619241605,2.58058117977558e-13,-1.09530024823554,-0.632370007416567,5,1.58328580691462e-10,"65975"
2.12935068215061,0.291436518692563,2.7440222789252e-13,1.55814560173345,2.70055576256777,5,1.62120901457092e-10,"1051"
0.7246845707367,0.0993250781895128,2.96253856851646e-13,0.53001099472363,0.91935814674977,5,1.68780054446338e-10,"11062"
1.00271523954294,0.138290912754862,4.1441689319054e-13,0.731670031154238,1.27376044793164,5,2.27957871730189e-10,"388722"
0.948899763046976,0.131148453114403,4.64465697272925e-13,0.691853518314607,1.20594600777935,5,2.46971893429924e-10,"84319"
3.74933082316187,0.518563751107347,4.82206619791534e-13,2.73296454730348,4.76569709902026,5,2.48134193513373e-10,"5321"
-0.711281398864321,0.0990442554687157,6.89757553522705e-13,-0.905404572458588,-0.517158225270054,5,3.43844140431069e-10,"152006"
-0.722010811564608,0.100768805904302,7.77734979836079e-13,-0.919514041902148,-0.524507581227068,5,3.75952375707428e-10,"7511"
3.09782222799178,0.433590637242083,9.02726347191826e-13,2.24800019496353,3.94764426102004,5,4.16284408583145e-10,"23643"
0.665485373941011,0.0931664932113934,9.13362230467031e-13,0.482882402680785,0.848088345201238,5,4.16284408583145e-10,"5814"
0.845876867030899,0.118883964103844,1.11793711636059e-12,0.612868579048011,1.07888515501379,5,4.95370357782892e-10,"152100"
-4.28963682041113,0.60392104207971,1.22098391687197e-12,-5.47330031239326,-3.105973328429,5,5.26409065998421e-10,"285016"
-1.2820146155408,0.180934479202541,1.38524574440411e-12,-1.63663967833929,-0.927389552742309,5,5.81511581966693e-10,"4254"
1.0100972970075,0.14275189294413,1.48488077946777e-12,0.73030872811209,1.28988586590292,5,6.07354312668457e-10,"100506325"
1.74826944641618,0.248215921879295,1.87683784412476e-12,1.26177517914335,2.23476371368901,5,7.48482932236953e-10,"976"
0.682851130380834,0.0975435324613079,2.5509484526669e-12,0.491669319831857,0.874032940929811,5,9.68874517070058e-10,"1849"
-0.99026712659384,0.143314485544926,4.85511889460193e-12,-1.27115835672478,-0.709375896462899,5,1.80113620015558e-09,"56288"
