"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"1",0.364791040699263,0.255393878575013
"10",0.0879288233408144,0.0610079575596817
"100",0.313155160287684,0.219177685474668
"1000",0.298258851754433,0.208744788117375
"10000",0.406129834752254,0.284194187935998
"100009676",0.105293042010285,0.073694087300501
"10001",0.257571822848686,0.180276195753015
"10002",0.131451587117123,0.0920348100703924
"10003",0.25189062931542,0.176184636935078
"100038246",0.101346226772848,0.0709631560241678
"10004",0.139705889351152,0.098193021323733
"100048912",0.116772290652601,0.0817093887471577
"100049716",0.184708530897534,0.129298565259897
"10005",0.131929389903995,0.0923118781094527
"10006",0.412318319958799,0.288527290117017
"10007",0.19550820616182,0.136810454492888
"10008",0.208872266933527,0.146177097980684
"10009",0.200684584423841,0.140467196644295
"100093630",0.42298652909143,0.2960078694975
"100093698",0.133868033735737,0.0937880633373934
"1001",0.335908632851864,0.235341365461847
"10010",0.394147977630828,0.275873713091
"100101467",0.158878797280357,0.110122757089025
"100101938",0.172710510141364,0.120898992508396
"10011",0.243722353620664,0.170458939309416
"100113407",0.9135218696008,0.639320388349515
"100124700",0.362406015037594,0.253606632286703
"100125288",0.108277454105749,0.0759275237273512
"100126791",0.128096973185076,0.0895690621677296
"100126793",0.177527234497635,0.123974651004718
"100127888",0.46605681271064,0.326220016542597
"100127950",0.100395580411949,0.0702072930851869
"100127983",0.201334989133809,0.140913508260447
"100128025",0.153788161466047,0.107850030776891
"100128071",0.141572254878255,0.099153199812446
"100128079",0.426051827766282,0.298330640818525
"100128098",0.105208946439082,0.0736132992883142
"100128124",0.0938760315195136,0.0645161290322581
"100128126",0.142316296678713,0.0995718178279486
"100128139",0.118507769514481,0.0829298258292983
"100128164",0.109978233474625,0.0769334593062492
"100128176",0.102961715423649,0.0721249121867832
"100128191",0.304984423676012,0.212922173274596
"100128239",0.245506149479659,0.171855463865966
"100128252",0.364480441600128,0.25504541293855
"100128262",0.135183094047427,0.0945945945945946
"100128285",0.133333333333333,0.0934446254071661
"100128292",0.124937462889413,0.0874613013728952
"100128327",0.21551724137931,0.150760488049474
"100128496",0.13141663350577,0.0920314253647587
"100128511",0.15712886525815,0.109927589463742
"100128554",0.123563218390805,0.0861609972533277
"100128590",0.185689855247191,0.129930200443251
"100128594",0.161023389343916,0.112737046438704
"100128640",0.106227106227106,0.0741839762611276
"100128653",0.169748250287266,0.118683510638298
"100128731",0.215020691197853,0.150588721338566
"100128750",0.134615384615385,0.092073381793008
"100128782",0.237088887110282,0.16590039714589
"100128788",0.129149988226984,0.09
"100128822",0.40673339399454,0.28460810462015
"100128881",0.159310124560843,0.111617858857417
"100128893",0.111457700579534,0.077966398319916
"100128927",0.156412600196878,0.109480512575105
"100128946",0.0842452464105549,0.0589248134685288
"100128977",0.139416611184493,0.0975424007116858
"100128988",0.173655648741983,0.121501706484642
"100128993",0.110557768924303,0.077350181887804
"100128998",0.119138521781694,0.0834685415539932
"100129034",0.308374145422149,0.215816465382644
"100129128",0.179036827195467,0.125166444740346
"100129175",0.0980532237899625,0.0686011904761905
"100129195",0.18982248379543,0.132947222827301
"100129196",0.544159286704018,0.380856128440397
"100129250",0.160131561656966,0.112049921971207
"100129271",0.0914750957854406,0.0638122684232194
"100129361",0.168646474382176,0.118018255076114
"100129387",0.30062246276351,0.210407818385414
"100129427",0.136846024948799,0.0977443609022556
"100129460",0.264679475668881,0.185222892880518
"100129461",0.162355987885134,0.113613584886126
"100129482",0.443715295305401,0.310564747203993
"100129516",0.1880088823094,0.131636363636364
"100129550",0.204433221099888,0.143062610930902
"100129583",0.111531190926276,0.0780964002440513
"100129597",0.105402112103981,0.0737306843267108
"100129603",0.109350111500478,0.0766208251473477
"100129617",0.143151087595532,0.100100300902708
"100129654",0.0900109021531753,0.0630213160333642
"100129662",0.100975674953221,0.0705357142857143
"100129716",0.144241119483315,0.100984439504605
"100129722",0.124315343612623,0.0870349146728148
"100129726",0.160439047174218,0.112303881090008
"100129792",0.214318975976957,0.149973765490546
"100129794",0.254640435700789,0.178189839387882
"100129827",0.129599007854485,0.0903954802259887
"100129845",0.121687929342493,0.08504906676929
"100129858",0.107007176023639,0.074812152891212
"100129935",0.119344628560789,0.0862068965517241
"100129961",0.206916053971075,0.144768998021646
"100129969",0.124928013163307,0.087450073575783
"100129973",0.427751646284102,0.299392097264438
"10013",0.146174872996664,0.102524600753954
"100130111",0.119646615328791,0.0837200639803677
"100130155",0.348107858963689,0.243630406890466
"100130249",0.113073807380738,0.0791358459551485
"100130264",0.125544899738448,0.0878258863339229
"100130268",0.201712328767123,0.141148528289083
"100130275",0.237338951455246,0.166246496534265
"100130331",0.158641856896221,0.110980622431004
"100130348",0.160030554759859,0.111989134461045
"100130357",0.122694357152616,0.0858455586006771
"100130417",0.15010681983927,0.105033121134071
"100130418",0.178018177994813,0.124537607891492
"100130452",0.212008895478132,0.148111332007952
"100130460",0.0930583501006036,0.0653439467743852
"100130476",0.126141581310863,0.0882704569606801
"100130519",0.186541112303381,0.130580902825632
"100130522",0.106841192593836,0.0742092457420925
"100130548",0.0985189248491498,0.0689300411522634
"100130557",0.142582289012532,0.0997932853375152
"100130581",0.111188999730386,0.077887890987922
"100130613",0.156676557863501,0.109606587374199
"100130691",0.0865064848686398,0.0605087014725569
"100130700",0.102425876010782,0.0718500065556575
"100130705",0.380445898956842,0.266326256382693
"100130717",0.121611302023673,0.0851299617167036
"100130733",0.154280789120858,0.107995513539497
"100130744",0.144292237442922,0.100990980959804
"100130776",0.418112530822685,0.292632626937847
"100130855",0.157962191605255,0.110907424381302
"100130872",0.0947763829582303,0.0662988868091814
"100130889",0.115216397937202,0.0806388270716062
"100130894",0.142301458670989,0.099566110984243
"100130933",0.151598308981681,0.106077502090884
"100130934",0.111111111111111,0.0762650726579408
"100130958",0.146273415703468,0.102418404822951
"100130964",0.116845960173953,0.081713884336221
"100130967",0.139870944287921,0.0975292587776333
"100130987",0.235281915114301,0.164659869924416
"100130992",0.138193739034075,0.0967184191954834
"100131017",0.136690647482014,0.0952934696125834
"100131067",0.25071036709986,0.175268704917681
"100131117",0.133555244101845,0.0934694468578048
"100131138",0.169541356330851,0.118721960827224
"100131187",1.06541043967945,0.745781111220764
"100131211",0.112315936036454,0.0785878238058804
"100131213",0.184574084241856,0.129020761141214
"100131303",0.0891654415535574,0.0623969213853766
"100131347",0.115039901780233,0.0805411030176899
"100131366",0.155576984892318,0.108795331388078
"100131434",0.174141034671676,0.12183353437877
"100131454",0.104382633685723,0.0730432806997614
"100131496",0.104077845212419,0.0728380876255183
"100131532",0.117638354542764,0.0822793062980832
"100131561",0.103929568391668,0.0727536699467656
"100131564",0.281875283299877,0.197236614853195
"100131655",0.119733535908374,0.0837694544210706
"100131691",0.128885086968919,0.0902643792042551
"100131733",0.164335664335664,0.114998885669713
"100131755",0.232107959451543,0.162411531346619
"100131801",0.257874321179209,0.180493033226152
"100131814",0.166031926099992,0.116234017822549
"100131816",0.112402121747916,0.0786722904823033
"100131825",0.157676348547718,0.110359187922957
"100131827",0.190083708950419,0.13312693498452
"100131897",1.08856163001816,0.761729530818767
"100131998",0.293285569945807,0.205376344086021
"100132057",0.121422376409367,0.0846632404652421
"100132074",0.361978337050016,0.25332362046986
"100132077",0.115059445178336,0.0805393854542775
"100132078",0.107289293849658,0.074973600844773
"100132111",0.134026258205689,0.092741935483871
"100132116",0.118328354844164,0.0827966526551232
"100132234",0.110050700864897,0.0770485631823315
"100132273",0.131123919308357,0.0916626036079961
"100132288",0.496032183245508,0.347152407263885
"100132341",0.116357961869869,0.0813415574402467
"100132352",0.175040472606436,0.122548120989918
"100132354",0.172108208955224,0.120492721164614
"100132356",0.175317034906524,0.122632575757576
"100132406",0.375738517247951,0.262956344140924
"100132464",0.124098124098124,0.0864440078585462
"100132618",0.103562653562654,0.0723310170562224
"100132677",0.10525052024972,0.0736370476776797
"100132686",0.152141057934509,0.106436360127376
"100132707",0.214791508038622,0.15031728920048
"100132735",0.0963282937365011,0.0673867802992766
"100132815",0.306337388777919,0.214399449154366
"100132891",0.581212208986567,0.406776232616941
"100132911",0.130851663846588,0.0919811320754717
"100132987",0.104231767385202,0.0729004058694974
"100133190",0.155935929648241,0.108974358974359
"100133205",0.16291751874574,0.113946800862689
"100133308",0.151854074137605,0.105904046222047
"100133311",0.116103896103896,0.081327179743046
"100133319",0.181770061401651,0.127140729709605
"100133461",0.163783783783784,0.114667565139263
"100133612",0.119069978303811,0.0833289075362473
"100133941",1.13437004390561,0.793899925124565
"100133985",0.101253799392097,0.0708791858951603
"100133991",0.0956161546427339,0.0669626676332004
"100134229",0.15467820443483,0.10832811521603
"100134259",0.341233140655106,0.238932429570006
"100134368",0.138872680592835,0.0972242336471156
"100134713",0.160739687055477,0.112676056338028
"100137047",0.18755035797325,0.13120822622108
"10014",0.252571749393827,0.176735411092046
"100141515",0.1388826564954,0.0972181264130542
"100144596",0.100173442192986,0.0700966075039317
"100144597",0.0985638264405438,0.0689714276537065
"100144602",0.16527985942426,0.115702479338843
"100144603",0.173269509353152,0.121235226839497
"100144604",0.125026957084322,0.0875250548821227
"100144748",0.127457362322614,0.0891247899801436
"100147773",0.173898641934415,0.121818181818182
"10015",0.206989740425385,0.144877106797933
"10016",0.185947480482612,0.130117318894085
"100169752",0.105513307984791,0.0737480670869513
"100169890",0.948444874742829,0.663822980538523
"100169989",0.180093676814988,0.126038781163435
"10017",0.141657378155499,0.0991590274363739
"100170229",0.0949757602468048,0.0666666666666667
"100170765",0.1154760099095,0.080842584685454
"100170841",0.256773080241588,0.179673950745751
"10018",0.22910272609657,0.160321395267086
"100188893",0.137231673279588,0.0960661896771163
"100188953",0.138334778837814,0.0968807339449541
"100189589",0.200281520209129,0.140068886337543
"10019",0.530438215554678,0.371229493737873
"100190938",0.263229308005427,0.184466019417476
"100190939",0.230149822696505,0.161176164444411
"100192378",0.586202279202279,0.410346197715866
"100192379",0.133699415065059,0.0936191180093619
"100192386",0.30817563571851,0.215760640539402
"1002",0.348513787970039,0.24393592819076
"10020",0.265785420944559,0.185984184230553
"10021",0.123661747151712,0.086528461518409
"100216545",0.203414996288048,0.142506142506143
