"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"389",-7.9918,1.7009
"390",-7.3645,-9.5776
"391",-2.5784,3.3155
"392",-5.0914,0.7274
"393",12.8299,1.2486
"394",0.5808,0.3054
"395",-14.8742,-10.7231
"396",3.9715,6.0903
"397",4.5638,-5.7223
"398",4.6082,-0.7477
"399",1.4219,2.9397
"400",-7.1167,-3.8536
"402",3.1044,3.3986
"403",-3.0762,-2.5976
"405",-1.9983,-0.3748
"406",-3.9657,-1.1448
"407",-0.1269,0.0773
"408",4.0999,-10.9757
"409",5.9899,6.7839
"410",-2.2723,-0.0601
"411",-2.6771,-3.1228
"412",-5.2207,-5.6934
"414",-2.3198,-0.677
"415",-9.2709,2.2072
"419",3.1257,0.3069
"420",3.0719,0.7674
"421",10.0093,0.4932
"427",1.1278,-0.6103
"432",2.9927,-1.5355
"434",1.458,1.4686
"435",-1.3213,6.4267
"438",-0.5701,-0.6374
"439",4.0718,0.9237
"440",-8.7091,2.121
"443",2.1535,-2.0233
"444",0.8424,-5.6327
"445",-16.4643,-26.3733
"460",-8.5865,-11.0248
"462",-2.3633,0.0384
"463",-13.0599,-6.0889
"466",-3.6672,0.0639
"467",-3.7741,0.7126
"468",-0.6676,0.4082
"471",6.1906,-0.1371
"472",-5.2337,-5.8761
"473",-1.7092,2.1989
"475",3.4424,5.7656
"476",0.0702,11.9127
"477",-11.4253,-13.6363
"478",6.9943,-3.1009
"481",5.0953,10.7241
"482",6.472,-4.0006
"483",-0.2699,7.1812
"486",-3.3185,-7.4489
"487",3.6453,0.0099
"488",0.1324,-3.2265
"489",7.9829,1.87
"490",-8.6936,-14.3855
"491",11.2537,2.2092
"492",3.5893,3.1592
"493",-9.6387,-5.5119
"498",1.6611,-1.3494
"501",-0.0729,-3.768
"506",3.6119,6.9729
"509",0.7537,0.4449
"513",4.2371,5.0959
"514",1.0881,4.0583
"515",-1.9312,1.696
"516",4.8019,9.4079
"517",6.9078,5.1636
"518",5.5446,-21.3815
"521",5.4108,5.1844
"522",-0.361,0.6865
"523",-4.579,1.0014
"525",3.9049,4.8137
"526",3.551,-0.2684
"527",6.4513,4.5124
"528",2.38,-0.3249
"529",2.6446,0.6137
"533",4.4129,8.4758
"534",-1.2198,-1.5613
"535",1.2746,-0.1531
"537",3.107,4.8244
"538",-6.5026,-6.7647
"539",0.8822,0.7259
"540",1.8901,-2.9432
"545",0.8066,2.2503
"546",-5.7121,-1.864
"547",6.8794,15.6817
"549",-1.0745,-0.1719
"550",6.9114,2.5994
"552",-4.5546,-1.303
"554",7.37,2.3573
"558",-19.1776,1.1197
"563",0.6221,5.2757
"567",-11.3252,-8.3187
"570",1.6027,1.5701
"571",-9.5124,-12.0474
"572",-1.8955,3.2179
"573",3.7796,2.8593
"575",14.5723,-7.501
"576",3.2436,-1.7997
"577",-4.3826,4.7475
"578",3.8449,5.2388
"579",4.7035,6.795
"580",-0.7695,-0.0713
"581",3.9041,-2.7782
"582",-4.4822,-2.9496
"583",3.1245,0.3857
"585",-4.0561,-5.7232
"586",6.0986,-0.9228
"587",2.0834,3.0777
"590",7.6225,-2.4892
"593",1.5215,3.442
"594",-2.0692,1.707
"595",-4.0059,3.4605
"596",-1.549,-1.3582
"597",-11.5851,-13.6018
"598",-3.1211,3.4191
"599",0.509,-0.0603
"602",-0.6742,-1.2024
"604",-3.8397,-1.559
"605",11.451,6.2059
"606",0.326,5.8543
"607",1.4461,0.4728
"610",-2.154,-3.8769
"613",4.3681,-1.9038
"617",4.2681,1.9948
"618",-1.1406,-0.3092
"622",1.3077,15.5904
"624",-0.5192,0.4645
"627",-13.1581,-1.3876
"629",-9.5085,-8.5142
"631",4.8675,3.5011
"632",0.3487,-0.6678
"633",-17.4688,-20.8787
"634",-6.1512,-7.9101
"636",-4.1503,4.9345
"637",0.676,-2.5662
"638",2.6764,4.3775
"639",-5.0538,3.3192
"641",3.4144,1.5216
"642",5.9199,5.2119
"644",-0.1487,3.0856
"645",1.6191,7.3811
"648",3.31,2.8806
"649",-1.8495,-3.5175
"650",-0.6162,2.1703
"652",-1.9568,8.9367
"653",7.1529,-8.1746
"654",-6.4388,-3.9652
"655",6.4587,-18.0984
"656",4.7321,3.0998
"657",-3.455,-5.6968
"658",-2.2399,-8.015
"659",-9.2238,-7.3739
"661",6.702,0.1828
"662",0.181,1.4174
"663",-3.3303,-3.0444
"664",0.9972,3.814
"665",-8.9435,-2.5786
"666",-3.0197,-8.8831
"667",-5.788,-0.1513
"668",7.7275,5.6155
"669",-1.9467,4.0856
"670",3.7642,-0.1559
"672",3.0335,2.5224
"673",-3.6492,-4.2881
"675",-1.2086,-1.149
"677",-2.5983,4.0591
"678",-7.8778,-8.0642
"682",6.2864,9.3183
"683",-2.362,8.1748
"684",-1.8471,-2.4342
"685",-3.8192,9.1788
"686",-5.1985,-3.0996
"687",1.438,7.6152
"688",-14.3135,-4.089
"689",4.9245,5.0719
"694",-5.354,-5.7037
"695",5.2568,2.6532
"696",-0.8063,0.8274
"699",2.0495,3.2096
"701",0.8543,0.3027
"705",6.9308,4.7718
"706",4.8119,2.5735
"708",9.276,1.4106
"710",-2.4781,-11.3545
"715",-14.9839,-6.3149
"716",-11.6628,-13.171
"717",-8.1746,-5.6103
"718",-12.0982,-4.4992
"719",-6.9025,-3.7416
"720",-1.3522,-4.0267
"726",4.0905,-7.3047
"727",-3.7046,-0.0738
"728",-2.7247,-2.6146
"733",0.2313,1.6908
"734",-3.6944,-2.2197
"738",2.4623,2.1529
"740",-1.6366,1.6693
"741",3.3553,2.4339
"745",9.7425,4.1355
"746",-1.425,-1.3809
"747",9.4804,2.5779
"750",5.0191,1.2592
"752",2.4997,7.999
"753",9.2484,1.9426
"754",-2.0755,-0.798
"755",1.2738,-0.3466
"757",-3.2757,-4.3133
"760",9.4622,8.1244
"761",-6.1345,2.4903
"762",-3.6901,-5.0179
"766",-0.8474,0.5557
"767",-1.9141,12.3468
"770",1.2168,0.0566
"771",2.2033,-2.8387
"773",2.1532,0.1144
"774",0.9295,-7.0182
"775",-13.4305,-15.8616
"777",8.0052,1.0682
"778",-2.1499,-2.3014
"780",2.5125,2.0425
"781",-8.193,-3.2404
"782",0.625,0.3112
"783",-7.286,-11.7532
"784",-4.8425,-0.9393
"785",2.4695,-0.7008
"786",-2.1148,-0.7976
"788",-1.7169,-0.3325
"790",8.4737,-0.4757
"793",-11.3117,-8.4608
"794",4.175,-1.631
"800",-18.2604,-11.5612
"801",3.511,-1.5797
"805",-5.7845,-4.809
"808",-7.0731,-1.4633
"811",-2.763,-2.2204
"813",-4.8093,-5.9647
"814",-6.7762,0.0387
"815",-3.2087,-10.4732
"816",10.2028,5.2873
"817",-2.2946,-3.4697
"818",2.0572,2.0762
"819",1.8272,0.8394
"821",0.6607,3.1011
"822",-14.2553,-5.5967
"823",-6.9968,-4.8993
"824",-13.4808,-9.2417
"825",-4.9684,-6.3282
"826",-6.2047,0.8294
"828",0.0776,4.2248
"829",-7.9089,-1.4787
"830",-2.3587,-3.3466
"831",-15.9281,1.5004
"832",-7.3554,0.0638
"833",-3.3249,2.664
"834",-15.1814,-13.9828
"835",6.6711,4.142
"836",-2.3048,-5.096
"837",-15.8676,-4.5997
"838",-1.2139,0.97
"839",-9.1129,-1.9935
"840",-4.8673,-2.8869
"841",-2.6092,-1.7825
"842",-1.5543,4.4115
"843",-4.2547,2.5736
"844",-4.7282,-7.5125
"845",-5.5239,-1.1899
"847",-0.5581,3.8304
"857",-25.553,-11.673
"858",-18.3547,-3.1956
"860",-14.459,-2.0053
"861",-4.7487,3.0535
"862",-13.1323,-9.8538
"863",-5.6163,-6.4422
"864",2.6041,4.6278
"865",3.6225,1.9384
"867",-3.1644,-3.1895
"868",-7.3743,-8.2938
"869",12.5727,-0.2974
"871",-9.8417,-11.1211
"873",2.2195,4.5472
"874",-6.763,-1.7175
"875",2.5941,1.5718
"881",0.1812,-4.5093
"883",1.0075,3.2293
"889",1.8973,0.679
"890",1.0218,3.5119
"891",3.3009,4.8435
"892",-2.2958,-0.8388
"894",1.4294,-15.1341
"896",1.7452,8.0194
"898",8.1915,9.2877
"899",8.7593,6.2108
"900",-4.0332,-9.6794
"901",-6.933,-1.6324
"902",2.4239,1.079
"904",2.3159,1.5342
"905",-1.4733,-3.6166
"908",5.689,4.8114
"912",-3.0123,-2.7288
"919",0.9349,0.0034
"920",1.5905,-4.3552
"921",-0.6886,-3.0393
"922",-2.5233,-3.2305
"924",2.8536,2.3445
"925",1.1856,0.676
"928",11.122,12.8385
"929",0.91,3.0182
"933",3.231,3.1014
"939",2.1294,2.92
"941",1.564,0.6355
"943",2.5996,0.182
"945",5.4406,0.8934
"947",-16.1419,4.1976
"948",-4.8686,-4.1954
"949",9.7898,6.5731
"950",-3.2619,-1.2869
"951",2.2504,-2.627
"952",-9.5302,-4.3524
"953",7.6365,0.3948
