"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"1",0.383351362489054,0.382336100772975
"2",0.842871495459974,1.33342354533153
"9",0.435762584522915,0.411127978351264
"10",0.852654785963623,0.923852183650616
"12",0.956289853713428,1.06114014829221
"14",0.209476758861923,0.200246320975178
"15",0.84854106932029,0.813912105688865
"16",0.188935771214252,0.175356143888636
"18",0.268405107824614,0.402227269397025
"19",0.393378348943585,0.382986272208728
"20",0.329341548435229,0.321982365460626
"21",0.274198984528741,0.279260780287474
"22",0.274076348377853,0.245483035835945
"23",0.22178482124755,0.209314680361254
"24",0.783695711703817,0.634649628155441
"25",0.195735756728417,0.186844613918017
"27",0.214432867160572,0.190052894504849
"29",0.211805939863494,0.209798994974874
"30",0.2487859025947,0.230128770506262
"31",0.190960496348072,0.181700271194435
"32",0.356674558368239,0.330862397213108
"33",1.00256215600683,0.737894736842105
"34",0.259882948547628,0.2352339555101
"35",0.449031102426315,0.419555370678499
"36",0.249703371990661,0.244873909969361
"37",0.242674237960036,0.219815917704385
"38",0.260205056358658,0.2424495371073
"39",0.231641028428548,0.213789073911773
"41",0.595841784989858,0.573422818791946
"43",0.448940735591889,0.523392544408306
"47",0.172503840245776,0.160186375321337
"48",0.209400497747535,0.193990477416034
"49",1.08387622149837,0.97819660014782
"50",0.218017727639001,0.207196882878753
"51",0.210521992689638,0.195679060060292
"52",0.195673169789453,0.18351366143224
"53",0.230262082493325,0.195179080959073
"54",0.552074397566872,0.617461389736542
"56",1.07582798988176,1.03304338601888
"58",0.786217587373168,0.822748455619378
"59",0.315012288082643,0.380139551385659
"60",0.14425622022234,0.133263530346247
"71",0.211940968520285,0.193336575875486
"72",0.501076219284702,0.287275843668645
"81",0.1962375231606,0.171827010874077
"86",0.259474892235347,0.240910875539851
"87",0.169551861740304,0.155692892797718
"88",0.477363094162299,0.569259125696198
"89",1.08123753778864,1.06147559695019
"90",0.246578253512258,0.20692260471266
"91",0.235861306810333,0.229632945389436
"92",0.23373428719731,0.210211224018996
"93",0.224685427179973,0.22155328115593
"94",0.702445891254619,0.879605502787818
"95",0.323659015977682,0.332689306680538
"97",0.313968815303006,0.293289525671151
"98",0.301738901330523,0.28893516841724
"100",0.382379673621153,0.353260657210956
"101",0.558352890975037,0.575214950614652
"102",0.183799313292691,0.173018319380714
"103",0.173025785656728,0.16046918767507
"104",0.253063644748979,0.226840123245464
"107",0.567496456413891,0.561853125029112
"109",0.258562065736954,0.234505137912385
"111",0.924576616423209,0.85278447929232
"112",0.238421955403087,0.219810345602445
"113",0.324175723810394,0.300281399337296
"115",0.213417551918844,0.207091975284348
"117",0.832532395893715,0.988261188554659
"118",0.163142259874574,0.147310441814133
"119",0.889879834772813,0.885384576106752
"120",0.220944024399738,0.174946286675685
"123",0.229588615280004,0.303869060371053
"126",1.05669919509937,0.831079478054567
"127",1.17658434296365,0.665779220779221
"128",0.188790560471976,0.175474452554745
"130",1.05240690281562,1.07289217332885
"132",0.253617298000325,0.231578947368421
"133",0.335233224055609,0.272515256345474
"134",0.409563019321253,0.430441980635128
"135",2.5015301530153,2.53044890383946
"136",0.279462678299405,0.264564072370829
"141",0.830964515210028,0.450586544567361
"142",0.209759529291379,0.20302463614928
"143",0.179524219733616,0.160608192620388
"146",0.655615292712067,0.523821025300405
"147",1.17150395778364,0.857770358004081
"150",1.12536480142114,0.955528455284553
"151",0.847531128440879,0.92282934679248
"152",0.939541198068527,1.03780939388034
"153",1.11442375677587,1.02382105943152
"154",0.838226047073619,0.4220598134436
